cycle_id,sample_index,time_ms,torque,speed,angle,current,event_code
CYCLE-OVERSHOOT-001,0,0.0,0.025,0.0,0.0,0.2205,
CYCLE-OVERSHOOT-001,1,2.0,0.02544,71.257,0.18,0.2209,
CYCLE-OVERSHOOT-001,2,4.0,0.02588,136.323,0.36,0.2212,
CYCLE-OVERSHOOT-001,3,6.0,0.02632,195.734,0.54,0.2216,
CYCLE-OVERSHOOT-001,4,8.0,0.02676,249.982,0.72,0.2219,
CYCLE-OVERSHOOT-001,5,10.0,0.0272,299.516,0.9,0.2223,
CYCLE-OVERSHOOT-001,6,12.0,0.02764,344.746,1.08,0.2227,
CYCLE-OVERSHOOT-001,7,14.0,0.02808,386.045,1.26,0.223,
CYCLE-OVERSHOOT-001,8,16.0,0.02852,423.755,1.44,0.2234,
CYCLE-OVERSHOOT-001,9,18.0,0.02896,458.189,1.62,0.2237,
CYCLE-OVERSHOOT-001,10,20.0,0.0294,489.63,1.8,0.2241,
CYCLE-OVERSHOOT-001,11,22.0,0.02984,518.339,1.98,0.2245,
CYCLE-OVERSHOOT-001,12,24.0,0.03028,544.553,2.16,0.2248,
CYCLE-OVERSHOOT-001,13,26.0,0.03072,568.489,2.34,0.2252,
CYCLE-OVERSHOOT-001,14,28.0,0.03116,590.345,2.52,0.2256,
CYCLE-OVERSHOOT-001,15,30.0,0.0316,610.302,2.7,0.2259,
CYCLE-OVERSHOOT-001,16,32.0,0.03204,628.525,2.88,0.2263,
CYCLE-OVERSHOOT-001,17,34.0,0.03248,645.164,3.06,0.2266,
CYCLE-OVERSHOOT-001,18,36.0,0.03292,660.357,3.24,0.227,
CYCLE-OVERSHOOT-001,19,38.0,0.03336,674.23,3.42,0.2274,
CYCLE-OVERSHOOT-001,20,40.0,0.0338,686.897,3.6,0.2277,
CYCLE-OVERSHOOT-001,21,42.0,0.03424,698.464,3.78,0.2281,
CYCLE-OVERSHOOT-001,22,44.0,0.03468,709.025,3.96,0.2284,
CYCLE-OVERSHOOT-001,23,46.0,0.03512,718.669,4.14,0.2288,
CYCLE-OVERSHOOT-001,24,48.0,0.03556,727.474,4.32,0.2292,
CYCLE-OVERSHOOT-001,25,50.0,0.036,735.515,4.5,0.2295,
CYCLE-OVERSHOOT-001,26,52.0,0.03644,742.856,4.68,0.2299,
CYCLE-OVERSHOOT-001,27,54.0,0.03688,749.56,4.86,0.2302,
CYCLE-OVERSHOOT-001,28,56.0,0.03732,755.681,5.04,0.2306,
