cycle_id,sample_index,time_ms,torque,speed,angle,current,event_code
CYCLE-UNDERSHOOT-001,0,0.0,0.022,0.0,0.0,0.218,
CYCLE-UNDERSHOOT-001,1,2.0,0.02239,71.257,0.18,0.2184,
CYCLE-UNDERSHOOT-001,2,4.0,0.02277,136.323,0.36,0.2187,
CYCLE-UNDERSHOOT-001,3,6.0,0.02316,195.734,0.54,0.219,
CYCLE-UNDERSHOOT-001,4,8.0,0.02355,249.982,0.72,0.2193,
CYCLE-UNDERSHOOT-001,5,10.0,0.02394,299.516,0.9,0.2196,
CYCLE-UNDERSHOOT-001,6,12.0,0.02432,344.746,1.08,0.2199,
CYCLE-UNDERSHOOT-001,7,14.0,0.02471,386.045,1.26,0.2203,
CYCLE-UNDERSHOOT-001,8,16.0,0.0251,423.755,1.44,0.2206,
CYCLE-UNDERSHOOT-001,9,18.0,0.02548,458.189,1.62,0.2209,
CYCLE-UNDERSHOOT-001,10,20.0,0.02587,489.63,1.8,0.2212,
CYCLE-UNDERSHOOT-001,11,22.0,0.02626,518.339,1.98,0.2215,
CYCLE-UNDERSHOOT-001,12,24.0,0.02665,544.553,2.16,0.2219,
CYCLE-UNDERSHOOT-001,13,26.0,0.02703,568.489,2.34,0.2222,
CYCLE-UNDERSHOOT-001,14,28.0,0.02742,590.345,2.52,0.2225,
CYCLE-UNDERSHOOT-001,15,30.0,0.02781,610.302,2.7,0.2228,
CYCLE-UNDERSHOOT-001,16,32.0,0.0282,628.525,2.88,0.2231,
CYCLE-UNDERSHOOT-001,17,34.0,0.02858,645.164,3.06,0.2234,
CYCLE-UNDERSHOOT-001,18,36.0,0.02897,660.357,3.24,0.2238,
CYCLE-UNDERSHOOT-001,19,38.0,0.02936,674.23,3.42,0.2241,
CYCLE-UNDERSHOOT-001,20,40.0,0.02974,686.897,3.6,0.2244,
CYCLE-UNDERSHOOT-001,21,42.0,0.03013,698.464,3.78,0.2247,
CYCLE-UNDERSHOOT-001,22,44.0,0.03052,709.025,3.96,0.225,
CYCLE-UNDERSHOOT-001,23,46.0,0.03091,718.669,4.14,0.2253,
CYCLE-UNDERSHOOT-001,24,48.0,0.03129,727.474,4.32,0.2257,
CYCLE-UNDERSHOOT-001,25,50.0,0.03168,735.515,4.5,0.226,
CYCLE-UNDERSHOOT-001,26,52.0,0.03207,742.856,4.68,0.2263,
CYCLE-UNDERSHOOT-001,27,54.0,0.03245,749.56,4.86,0.2266,
CYCLE-UNDERSHOOT-001,28,56.0,0.03284,755.681,5.04,0.2269,
CYCLE-UNDERSHOOT-001,29,58.0,0.03323,761.271,5.22,0.2272,
CYCLE-UNDERSHOOT-001,30,60.0,0.03362,766.374,5.4,0.2276,
CYCLE-UNDERSHOOT-001,31,62.0,0.034,771.034,5.58,0.2279,
CYCLE-UNDERSHOOT-001,32,64.0,0.03439,775.289,5.76,0.2282,
CYCLE-UNDERSHOOT-001,33,66.0,0.03478,779.175,5.94,0.2285,
CYCLE-UNDERSHOOT-001,34,68.0,0.03516,782.722,6.12,0.2288,
CYCLE-UNDERSHOOT-001,35,70.0,0.03555,785.962,6.3,0.2292,
CYCLE-UNDERSHOOT-001,36,72.0,0.03594,788.92,6.48,0.2295,
CYCLE-UNDERSHOOT-001,37,74.0,0.03633,791.62,6.66,0.2298,
CYCLE-UNDERSHOOT-001,38,76.0,0.06442,798.9,6.885,0.2528,
CYCLE-UNDERSHOOT-001,39,78.0,0.07005,796.7,7.055,0.2574,
CYCLE-UNDERSHOOT-001,40,80.0,0.07568,794.5,7.225,0.2621,
CYCLE-UNDERSHOOT-001,41,82.0,0.08131,792.3,7.395,0.2667,
CYCLE-UNDERSHOOT-001,42,84.0,0.08694,790.1,7.565,0.2713,
CYCLE-UNDERSHOOT-001,43,86.0,0.09258,787.9,7.735,0.2759,
CYCLE-UNDERSHOOT-001,44,88.0,0.09821,785.7,7.905,0.2805,
CYCLE-UNDERSHOOT-001,45,90.0,0.10384,783.5,8.075,0.2851,
CYCLE-UNDERSHOOT-001,46,92.0,0.10947,781.3,8.245,0.2898,
CYCLE-UNDERSHOOT-001,47,94.0,0.1151,779.1,8.415,0.2944,
CYCLE-UNDERSHOOT-001,48,96.0,0.12074,776.9,8.585,0.299,
CYCLE-UNDERSHOOT-001,49,98.0,0.12637,774.7,8.755,0.3036,
CYCLE-UNDERSHOOT-001,50,100.0,0.132,772.5,8.925,0.3082,
CYCLE-UNDERSHOOT-001,51,102.0,0.13763,770.3,9.095,0.3129,
CYCLE-UNDERSHOOT-001,52,104.0,0.14326,768.1,9.265,0.3175,
CYCLE-UNDERSHOOT-001,53,106.0,0.1489,765.9,9.435,0.3221,
CYCLE-UNDERSHOOT-001,54,108.0,0.15453,763.7,9.605,0.3267,
CYCLE-UNDERSHOOT-001,55,110.0,0.16016,761.5,9.775,0.3313,
CYCLE-UNDERSHOOT-001,56,112.0,0.16579,759.3,9.945,0.3359,
CYCLE-UNDERSHOOT-001,57,114.0,0.17142,757.1,10.115,0.3406,
CYCLE-UNDERSHOOT-001,58,116.0,0.17706,754.9,10.285,0.3452,
CYCLE-UNDERSHOOT-001,59,118.0,0.18269,752.7,10.455,0.3498,
CYCLE-UNDERSHOOT-001,60,120.0,0.18832,750.5,10.625,0.3544,
CYCLE-UNDERSHOOT-001,61,122.0,0.19395,748.3,10.795,0.359,
CYCLE-UNDERSHOOT-001,62,124.0,0.19958,746.1,10.965,0.3637,
CYCLE-UNDERSHOOT-001,63,126.0,0.20522,743.9,11.135,0.3683,
CYCLE-UNDERSHOOT-001,64,128.0,0.21085,741.7,11.305,0.3729,
CYCLE-UNDERSHOOT-001,65,130.0,0.21648,739.5,11.475,0.3775,
CYCLE-UNDERSHOOT-001,66,132.0,0.22211,737.3,11.645,0.3821,
CYCLE-UNDERSHOOT-001,67,134.0,0.22774,735.1,11.815,0.3868,
CYCLE-UNDERSHOOT-001,68,136.0,0.23338,732.9,11.985,0.3914,
CYCLE-UNDERSHOOT-001,69,138.0,0.23901,730.7,12.155,0.396,
CYCLE-UNDERSHOOT-001,70,140.0,0.24464,728.5,12.325,0.4006,
CYCLE-UNDERSHOOT-001,71,142.0,0.25027,726.3,12.495,0.4052,
CYCLE-UNDERSHOOT-001,72,144.0,0.2559,724.1,12.665,0.4098,
